Kanji,Furigana,Meaning,Level
食い違う,くいちがう,"to cross each other, to run counter to, to differ, to clash, to go awry",N1
空腹,くうふく,hunger,N1
区画,くかく,"division, section, compartment, boundary, area, block",N1
区間,くかん,section (of track etc),N1
茎,くき,stalk,N1
区切り,くぎり,"an end, a stop, punctuation",N1
潜る,くぐる,"1. to drive, to pass through, 2. to evade, to hide, 3. to dive (into or under water), to go undergro",N1
種々,くさぐさ,variety,N1
嚏,くしゃみ,sneeze,N1
旧事,くじ,"past events, bygones",N1
籤引,くじびき,"lottery, drawn lot",N1
擽ぐったい,くすぐったい,ticklish,N1
草臥れる,くたびれる,"to get tired, to wear out",N1
下らない,くだらない,"good-for-nothing, stupid, trivial, worthless",N1
件,くだん,"example, precedent, the usual, the said, the above-mentioned, (man) in question",N1
口ずさむ,くちずさむ,"to hum something, to sing to oneself",N1
嘴,くちばし,"beak, bill",N1
朽ちる,くちる,to rot,N1
,くっきり,"distinctly, clearly, boldly",N1
屈折,くっせつ,"bending, indentation, refraction",N1
くっ付く,くっつく,"to adhere to, to keep close to",N1
くっ付ける,くっつける,to attach,N1
覆す,くつがえす,"to overturn, to upset, to overthrow, to undermine",N1
諄い,くどい,"verbose, importunate, heavy (taste)",N1
国境,くにざかい,national or state border,N1
首飾り,くびかざり,necklace,N1
首輪,くびわ,"necklace, choker",N1
組み合わせ,くみあわせ,combination,N1
組み合わせる,くみあわせる,"to join together, to combine, to join up",N1
組み込む,くみこむ,"to insert, to include, to cut in (printing)",N1
蔵,くら,"warehouse, cellar, magazine, granary, godown, depository, treasury, elevator",N1
苦しめる,くるしめる,"to torment, to harass, to inflict pain",N1
包む,くるむ,"to be engulfed in, to be enveloped by, to wrap up, to tuck in, to pack, to do up, to cover with, to dress i",N1
呉れ呉れも,くれぐれも,"repeatedly, sincerely, earnestly",N1
呉れる,くれる,"to give, to let one have, to do for one, to be given",N1
玄人,くろうと,"expert, professional, geisha, prostitute",N1
黒字,くろじ,balance (figure) in the black,N1
君主,くんしゅ,"ruler, monarch",N1
愚痴,ぐち,"idle complaint, grumble",N1
,ぐっと,"firmly, fast, much, more",N1
,ぐらい,approximately,N1
群,ぐん,group (math),N1
軍艦,ぐんかん,"warship, battleship",N1
群集,ぐんしゅう,"(social) group, crowd, throng, mob, multitude",N1
軍事,ぐんじ,military affairs,N1
軍備,ぐんび,"armaments, military preparations",N1
軍服,ぐんぷく,military or naval uniform,N1
刑,けい,"penalty, sentence, punishment",N1
頃,けい,"time, about, toward, approximately (time)",N1
傾,けい,"lean, incline",N1
系,けい,"system, lineage, group",N1
経過,けいか,"passage, expiration, progress",N1
軽快,けいかい,"rhythmical (e.g. melody), casual (e.g. dress), light, nimble",N1
警戒,けいかい,"warning, admonition, vigilance",N1
計器,けいき,"meter, gauge",N1
契機,けいき,"opportunity, chance",N1
敬具,けいぐ,Sincerely yours,N1
軽減,けいげん,abatement,N1
掲載,けいさい,appearance (e.g. article in paper),N1
傾斜,けいしゃ,"inclination, slant, slope, bevel, list, dip",N1
形成,けいせい,formation,N1
形勢,けいせい,"condition, situation, prospects",N1
軽率,けいそつ,"rash, thoughtless, careless, hasty",N1
携帯,けいたい,carrying something,N1
形態,けいたい,"form, shape, figure",N1
刑罰,けいばつ,"judgement, penalty, punishment",N1
経費,けいひ,"expenses, cost, outlay",N1
警部,けいぶ,police inspector,N1
軽蔑,けいべつ,"scorn, disdain",N1
経歴,けいれき,"personal history, career",N1
経路,けいろ,"course, route, channel",N1
汚す,けがす,"to disgrace, to dishonour",N1
汚らわしい,けがらわしい,"filthy, unfair",N1
汚れ,けがれ,"uncleanness, impurity, disgrace",N1
汚れる,けがれる,"to get dirty, to become dirty",N1
獣,けだもの,"beast, brute",N1
吝嗇,けち,"stinginess, miser, miserliness, skinflint, tightwad, niggard, pinching pennies",N1
結核,けっかく,"tuberculosis, tubercule",N1
血管,けっかん,blood vessel,N1
決行,けっこう,"doing (with resolve), carrying out (i.e. a plan)",N1
決算,けっさん,"balance sheet, settlement of accounts",N1
決勝,けっしょう,"decision of a contest, finals (in sports)",N1
結晶,けっしょう,"crystal, crystallization",N1
結成,けっせい,formation,N1
結束,けっそく,"union, unity",N1
傑,けつ,excellence,N1
決意,けつい,"decision, determination",N1
決議,けつぎ,"resolution, vote, decision",N1
結合,けつごう,"combination, union",N1
決断,けつだん,"decision, determination",N1
欠乏,けつぼう,"want, shortage, famine",N1
蹴飛ばす,けとばす,"to kick away, to kick off, to kick (someone), to refuse, to reject",N1
貶す,けなす,to speak ill of,N1
煙たい,けむたい,"smoky, feeling awkward",N1
煙る,けむる,to smoke (e.g. fire),N1
家来,けらい,"retainer, retinue, servant",N1
,けれど,"but, however",N1
圏,けん,"sphere, circle, range",N1
権,けん,"authority, the right (to do something)",N1
権威,けんい,"authority, power, influence",N1
兼業,けんぎょう,"side line, second business",N1
権限,けんげん,"power, authority, jurisdiction",N1
健在,けんざい,"in good health, well",N1
懸賞,けんしょう,"offering prizes, winning, reward",N1
検事,けんじ,public prosecutor,N1
健全,けんぜん,"health, soundness, wholesome",N1
見地,けんち,point of view,N1
賢明,けんめい,"wisdom, intelligence, prudence",N1
倹約,けんやく,"thrift, economy, frugality",N1
兼用,けんよう,"multi-use, combined use, combination, serving two purposes",N1
権力,けんりょく,"power, authority, influence",N1
劇団,げきだん,"troupe, theatrical company",N1
激励,げきれい,encouragement,N1
月謝,げっしゃ,monthly tuition fee,N1
,げっそり,"being disheartened, losing weight",N1
月賦,げっぷ,monthly installment,N1
下痢,げり,diarrhoea,N1
原,げん,"original, primitive, primary, fundamental, raw",N1
原形,げんけい,"original form, base form",N1
現行,げんこう,"present, current, in operation",N1
原作,げんさく,original work,N1
原子,げんし,atom,N1
元首,げんしゅ,"ruler, sovereign",N1
原書,げんしょ,original document,N1
減少,げんしょう,"decrease, reduction, decline",N1
現場,げんじょう,"actual spot, scene, scene of the crime",N1
元素,げんそ,chemical element,N1
原則,げんそく,"principle, general rule",N1
現像,げんぞう,developing (film),N1
現地,げんち,"actual place, local",N1
限定,げんてい,"limit, restriction",N1
原点,げんてん,"origin (coordinates), starting point",N1
原典,げんてん,original (text),N1
減点,げんてん,"subtract, give a demerit",N1
原爆,げんばく,atomic bomb,N1
原文,げんぶん,"the text, original",N1
厳密,げんみつ,"strict, close",N1
原油,げんゆ,crude oil,N1
言論,げんろん,discussion,N1
故,こ,the late (deceased),N1
戸,こ,counter for houses,N1
児,こ,"child, the young of animals",N1
,あいかわらず,"as ever,as usual,the same",N2
,アイデア/アイディア,idea,N2
,あいまい,"vague,ambiguous",N2
遭う,あう,"to meet,to encounter (undesirable nuance)",N2
扇ぐ,あおぐ,"to fan,to flap",N2
青白い,あおじろい,"pale,pallid",N2
,あかんぼう,baby,N2
明き,あき,"room,time to spare,emptiness",N2
,あきれる,"to be amazed,to be shocked",N2
,アクセント,accent,N2
,あくび,yawn,N2
飽くまで,あくまで,"to the end,to the last,stubbornly",N2
明け方,あけがた,dawn,N2
揚げる,あげる,"to lift,to fry",N2
挙げる,あげる,"to raise,to fly",N2
,あげる (=やる),to do for,N2
憧れる,あこがれる,"to long for,to yearn after,to admire",N2
足跡,あしあと,footprints,N2
味わう,あじわう,"to taste,to savor,to relish",N2
預かる,あずかる,"to keep in custody,to receive on deposit,to take charge of",N2
暖まる,あたたまる,"to warm up,to get warm",N2
暖める,あたためる,"to warm,to heat",N2
,あたりまえ,"usual,common,ordinary",N2
あひら,あひら,,N2
,あちらこちら,here and there,N2
厚かましい,あつかましい,"impudent,shameless,brazen",N2
圧縮,あっしゅく,"compression,condensation,pressure",N2
宛名,あてな,"address,direction",N2
,あてはまる,"to be applicable,to come under (a category),to fulfill",N2
,あてはめる,"to apply,to adapt",N2
暴れる,あばれる,"to act violently,to rage,to struggle,to be riotous",N2
脂,あぶら,"fat,tallow,lard",N2
,あぶる,to scorch,N2
,あふれる,"to flood,to overflow,to brim over",N2
雨戸,あまど,sliding storm door,N2
甘やかす,あまやかす,"to pamper,to spoil",N2
余る,あまる,"to remain,to be left over,to be in excess,to be too many",N2
編物,あみもの,"knitting,web",N2
編む,あむ,to knit,N2
危うい,あやうい,"dangerous,critical,grave",N2
怪しい,あやしい,"suspicious,dubious,doubtful",N2
荒い,あらい,"rough,rude,wild",N2
粗い,あらい,"coarse,rough",N2
,あらすじ,"outline,summary",N2
争う,あらそう,"to dispute,to argue,to be at variance,to compete",N2
改めて,あらためて,"another time,again,over again,anew,formally",N2
改める,あらためる,"to change,to alter,to reform,to revise",N2
著す,あらわす,"to write,to publish",N2
有難い,ありがたい,"grateful,thankful,welcome,appreciated,evoking gratitude",N2
在る,ある,"to live,to be",N2
,あれこれ,"one thing or another,this and that,this or that",N2
,あわただしい,"busy,hurried,confused,flurried",N2
,あわてる,to become confused,N2
安易,あんい,easy-going,N2
案外,あんがい,unexpectedly,N2
,アンテナ,antenna,N2
言い出す,いいだす,"to start talking,to speak,to tell,to propose,to suggest,to break the ice",N2
言い付ける,いいつける,"to tell,to tell on (someone),to order",N2
意義,いぎ,"meaning,significance",N2
生き生き,いきいき,"vividly,lively",N2
,いきなり,"(uk) abruptly,suddenly,all of a sudden,without warning",N2
育児,いくじ,"childcare,nursing,upbringing",N2
幾分,いくぶん,somewhat,N2
生け花,いけばな,(1) flower arrangement,N2
以後,いご,"after this,from now on,hereafter,thereafter",N2
以降,いこう,"on and after,hereafter,thereafter",N2
,イコール,equal,N2
勇ましい,いさましい,"brave,valiant,gallant,courageous",N2
衣食住,いしょくじゅう,"necessities of life (food, clothing, etc.)",N2
意地悪,いじわる,"malicious,ill-tempered,unkind",N2
,いちいち,"one by one,separately",N2
一応,いちおう,"once,tentatively,in outline,for the time being",N2
一段と,いちだんと,"greater,more,further,still more",N2
一流,いちりゅう,"first class,top grade,foremost,top-notch",N2
佚,いつ,"be lost,peace,hide,mistake,beautiful,in turn",N2
一昨日,いっさくじつ,day before yesterday,N2
一昨年,いっさくねん,year before last,N2
一斉,いっせい,"simultaneous,all at once",N2
一旦,いったん,"once,for a moment,one morning,temporarily",N2
一定,いってい,"fixed,settled,definite",N2
,いっていらっしゃい,,N2
,いってらっしゃい,,N2
,いってまいります,,N2
,いつのまにか,"before one knows,unnoticed,unawares",N2
移転,いてん,"moving,transfer,demise",N2
井戸,いど,water well,N2
緯度,いど,latitude (nav.),N2
従姉妹,いとこ,cousin (female),N2
威張る,いばる,"to be proud,to swagger",N2
嫌がる,いやがる,"to hate,to dislike",N2
,いよいよ,"more and more,all the more,increasingly,at last,beyond doubt",N2
煎る,いる,"to parch,to fry",N2
炒る,いる,,N2
入れ物,いれもの,"container,case,receptacle",N2
,インキ,ink,N2
,インタビュー,interview,N2
引力,いんりょく,gravity,N2
,ウーマン,woman,N2
,ウール,wool,N2
,ウエートレス,waitress,N2
植木,うえき,"garden shrubs,trees,potted plant",N2
飢える,うえる,to starve,N2
浮ぶ,うかぶ,"to float,to rise to surface,to come to mind",N2
浮かべる,うかべる,"to float,to express,to look (sad, glad)",N2
浮く,うく,"to float,to become merry,to become loose",N2
承る,うけたまわる,"(hum) to hear,to be told,to know",N2
受取,うけとり,receipt,N2
受け持つ,うけもつ,to take (be in) charge of,N2
薄暗い,うすぐらい,"dim,gloomy",N2
薄める,うすめる,"to dilute,to water down",N2
打合せ,うちあわせ,"business meeting,previous arrangement,appointment",N2
打ち消す,うちけす,"to deny,to negate,to contradict",N2
討つ,うつ,"to attack,to avenge",N2
,うっかり,"carelessly,thoughtlessly,inadvertently",N2
映す,うつす,"to project,to reflect,to cast (shadow)",N2
写る,うつる,"to be photographed,to be projected",N2
映る,うつる,"to be reflected,to harmonize with,to come out (photo)",N2
,うどん,noodles (Japanese),N2
有無,うむ,"yes or no,existence,flag indicator (comp),presence or absence marker",N2
埋める,うめる,"to bury,to fill up,to fill (a seat, a vacant position)",N2
敬う,うやまう,"to show respect,to honour",N2
裏返す,うらがえす,"to turn inside out,to turn (something) over",N2
裏口,うらぐち,"backdoor,rear entrance",N2
占う,うらなう,"to forecast,to predict",N2
恨み,うらみ,resentment,N2
恨む,うらむ,"to curse,to feel bitter",N2
羨ましい,うらやましい,"envious,enviable",N2
羨む,うらやむ,to envy,N2
売上,うりあげ,"amount sold,proceeds",N2
売り切れ,うりきれ,sold-out,N2
売り切れる,うりきれる,to be sold out,N2
売行き,うれゆき,sales,N2
,うろうろ,"loiteringly,aimless wandering",N2
運河,うんが,"canal,waterway",N2
,うんと,"a great deal,very much",N2
英文,えいぶん,sentence in English,N2
英和,えいわ,English-Japanese (e.g. dictionary),N2
,ええと,"let me see,well,er....",N2
液体,えきたい,"liquid,fluid",N2
,エチケット,etiquette,N2
絵の具,えのぐ,"colors,paints",N2
,エプロン,apron,N2
偉い,えらい,"great,celebrated,eminent,terrible,awful,famous,remarkable,excellent",N2
宴会,えんかい,"party,banquet",N2
園芸,えんげい,"horticulture,gardening",N2
演劇,えんげき,play (theatrical),N2
円周,えんしゅう,circumference,N2
遠足,えんそく,"trip,hike,picnic",N2
延長,えんちょう,"extension,elongation,prolongation,lengthening",N2
煙突,えんとつ,chimney,N2
追い掛ける,おいかける,"to chase or run after someone,to run down,to pursue",N2
追い越す,おいこす,"to pass (e.g. car),to outdistance,to outstrip",N2
,オイル,"oil,engine oil,kerosene",N2
応援,おうえん,"aid,assistance,help,reinforcement",N2
王女,おうじょ,princess,N2
応ずる,おうずる,"to answer,to respond,to meet,to satisfy,to accept",N2
応接,おうせつ,reception,N2
応対,おうたい,"receiving,dealing with",N2
往復,おうふく,"(col) round trip,coming and going,return ticket",N2
欧米,おうべい,"Europe and America,the West",N2
応用,おうよう,"application,put to practical use",N2
,オーケストラ,orchestra,N2
,おおざっぱ,"rough (not precise),broad,sketchy",N2
大通り,おおどおり,main street,N2
,オートメーション,automation,N2
,オーバーコート,,N2
大凡,おおよそ,"about,roughly,as a rule,approximately",N2
お帰り,おかえり,"return,welcome",N2
,おかけください,,N2
,おかげさまで,"Thanks to god,thanks to you",N2
,おかず,"side dish,accompaniment for rice dishes",N2
拝む,おがむ,"to worship,to beg,to make a supplication",N2
お代わり,おかわり,"second helping,another cup",N2
補う,おぎなう,to compensate for,N2
,おきのどくに,,N2
屋外,おくがい,outdoors,N2
,おくさん,"(hon) wife,your wife,madam",N2
送り仮名,おくりがな,part of word written in kana,N2
,おげんきで,,N2
怠る,おこたる,"to neglect,to be off guard,to be feeling better",N2
押える,おさえる,"to stop,to restrain,to seize,to repress,to suppress,to press down",N2
,おさきに,"before,ahead,previously",N2
納める,おさめる,"to obtain,to reap,to pay,to supply,to accept",N2
治める,おさめる,"(1) to govern,to manage,(2) to subdue",N2
惜しい,おしい,"regrettable,disappointing,precious",N2
御辞儀,おじぎ,bow,N2
伯父さん,おじさん,"middle-aged gentleman,uncle",N2
小父さん,おじさん,"middle-aged gentleman,uncle",N2
叔父さん,おじさん,"middle-aged gentleman,uncle",N2
,おしゃれ,"smartly dressed,someone smartly dressed,fashion-conscious",N2
,おじゃまします,Excuse me for disturbing you,N2
教わる,おそわる,to be taught,N2
,おだいじに,Take care of yourself,N2
落着く,おちつく,"to calm down,to settle down",N2
御手洗,おてあらい,font of purifying water placed at entrance of shrine,N2
お出掛け,おでかけ,,N2
お手伝いさん,おてつだいさん,maid,N2
,おどかす,"to threaten,to coerce",N2
落し物,おとしもの,lost property,N2
,おととい,day before yesterday,N2
,おととし,year before last,N2
,おとなしい,"obedient,docile,quiet",N2
驚かす,おどろかす,"to surprise,to frighten,to create a stir",N2
,おねがいします,please,N2
各々,おのおの,"each,every,either,respectively,severally",N2
伯母さん,おばさん,(hon) aunt,N2
叔母さん,おばさん,"(1) aunt,(2) middle-aged lady",N2
,おはよう,(abbr) Good morning,N2
お参り,おまいり,"worship,shrine visit",N2
,おまたせしました,Sorry to have kept you waiting,N2
,おまちください,Please wait a moment,N2
,おまちどおさま,Sorry to have kept you waiting,N2
,おめでたい,"happy event,matter for congratulation,auspicious event,pregnancy",N2
思い掛けない,おもいがけない,"unexpected,casual",N2
思い込む,おもいこむ,"to be under impression that,to be convinced that",N2
思いっ切り,おもいっきり,,N2
思い付く,おもいつく,"to think of,to hit upon",N2
重たい,おもたい,"heavy,massive,serious",N2
,おやすみ,"(1) holiday,absence,rest,(2) (exp) Good night",N2
,おやつ,"(1) between meal snack,afternoon refreshment",N2
親指,おやゆび,thumb,N2
,オルガン,organ,N2
卸す,おろす,"to sell wholesale,grated (vegetables)",N2
恩恵,おんけい,"grace,favor,blessing,benefit",N2
温室,おんしつ,greenhouse,N2
温泉,おんせん,"spa,hot spring,onsen",N2
温帯,おんたい,temperate zone,N2
御中,おんちゅう,"and Company,Messrs.",N2
女の人,おんなのひと,woman,N2
蚊,か,mosquito,N2
,カーブ,"(1) curve,(2) curve ball (baseball)",N2
貝,かい,"shell,shellfish",N2
開会,かいかい,opening of a meeting,N2
会館,かいかん,"meeting hall,assembly hall",N2
改札,かいさつ,examination of tickets,N2
解散,かいさん,"breakup,dissolution",N2
海水浴,かいすいよく,"sea bathing,seawater bath",N2
回数,かいすう,"number of times,frequency",N2
回数券,かいすうけん,book of tickets,N2
改正,かいせい,"revision,amendment,alteration",N2
快晴,かいせい,good weather,N2
解説,かいせつ,"explanation,commentary",N2
改造,かいぞう,"(1) remodeling,(2) modding (comp)",N2
開通,かいつう,"opening,open",N2
回転,かいてん,"rotation,revolution,turning",N2
解答,かいとう,"answer,solution",N2
回答,かいとう,"reply,answer",N2
外部,がいぶ,"the outside,external",N2
解放,かいほう,"release,liberation,emancipation",N2
開放,かいほう,"open,throw open,liberalization",N2
海洋,かいよう,ocean,N2
概論,がいろん,"intro,outline,general remarks",N2
帰す,かえす,to send back,N2
却って,かえって,"on the contrary,rather,all the more,instead",N2
代える,かえる,"to exchange,to interchange,to substitute,to replace",N2
反る,かえる,"to warp,to be warped,to curve",N2
家屋,かおく,"house,building",N2
係わる,かかわる,"to concern oneself in,to have to do with,to affect,to influence,to stick to (opinions)",N2
書留,かきとめ,"writing down,putting on record,recording,making a note of,registration (of mail)",N2
書取,かきとり,dictation,N2
垣根,かきね,hedge,N2
掻く,かく,"to scratch,to perspire",N2
嗅ぐ,かぐ,"to sniff,to smell",N2
架空,かくう,"aerial,overhead,fiction,fanciful",N2
各自,かくじ,"individual,each",N2
拡充,かくじゅう,expansion,N2
学術,がくじゅつ,"science,learning,scholarship",N2
各地,かくち,"every place,various places",N2
拡張,かくちょう,"expansion,extension,enlargement,escape (ESC)",N2
角度,かくど,angle,N2
学年,がくねん,"year in school,grade in school",N2
学部,がくぶ,"department of a university,undergraduate",N2
格別,かくべつ,exceptional,N2
確率,かくりつ,probability,N2
学力,がくりょく,"scholarship,knowledge,literary ability",N2
掛け算,かけざん,multiplication,N2
可決,かけつ,"approval,adoption (e.g. motion, bill),passage",N2
火口,かこう,"a burner,origin of a fire",N2
下降,かこう,"downward,descent,fall,drop,subsidence",N2
重なる,かさなる,"to be piled up,lie on top of one another,overlap each other",N2
重ねる,かさねる,"to pile up,to put something on another,to heap up,to add,to repeat",N2
飾り,かざり,decoration,N2
火山,かざん,volcano,N2
,かしこまりました,certainly!,N2
貸し出し,かしだし,"lending,loaning",N2
過失,かしつ,"error,blunder,accident",N2
果実,かじつ,"fruit,nut,berry.",N2
貸間,かしま,room to let,N2
貸家,かしや,house for rent,N2
個所,かしょ,"passage,place,point,part",N2
過剰,かじょう,"excess,over-",N2
,かじる,"to chew,to bite (at),to gnaw,to nibble",N2
課税,かぜい,taxation,N2
下線,かせん,"underline,underscore",N2
,カセット,cassette (tape),N2
加速,かそく,acceleration,N2
加速度,かそくど,acceleration,N2
固い,かたい,"stubborn,firm (not viscous or easily moved)",N2
堅い,かたい,"hard (esp. wood),steadfast,honorable,stuffy writing",N2
片仮名,かたかな,katakana,N2
片付く,かたづく,"to put in order,to dispose of,to solve",N2
塊,かたまり,"lump,mass,clod,cluster",N2
固まる,かたまる,"to harden,to solidify,to become firm,to become certain",N2
片道,かたみち,one-way (trip),N2
傾く,かたむく,"to incline toward,to slant,to lurch",N2
片寄る,かたよる,"to be one-sided,to incline,to be partial",N2
学科,がっか,"study subject,course of study",N2
学会,がっかい,"scientific society,academic meeting",N2
楽器,がっき,musical instrument,N2
学級,がっきゅう,grade in school,N2
担ぐ,かつぐ,"to shoulder,to carry on shoulder",N2
括弧,かっこ,"parenthesis,brackets",N2
活字,かつじ,printing type,N2
活躍,かつやく,activity,N2
活力,かつりょく,"vitality,energy",N2
仮定,かてい,"assumption,supposition,hypothesis",N2
過程,かてい,process,N2
課程,かてい,"course,curriculum",N2
仮名,かな,"(n) alias,pseudonym,pen name",N2
仮名遣い,かなづかい,"kana orthography,syllabary spelling",N2
鐘,かね,"bell,chime",N2
加熱,かねつ,heating,N2
兼ねる,かねる,"to hold (position),to serve,to be unable",N2
,カバー,cover (ex. book),N2
過半数,かはんすう,majority,N2
被せる,かぶせる,to cover (with something),N2
釜,かま,"iron pot,kettle",N2
紙屑,かみくず,wastepaper,N2
神様,かみさま,god,N2
剃刀,かみそり,razor,N2
,ガム,chewing gum,N2
貨物,かもつ,"cargo,freight",N2
,かゆい,"itchy,itching",N2
歌謡,かよう,"song,ballad",N2
殻,から,"shell,husk,hull,chaff",N2
,カラー,"collar,color,colour",N2
,からかう,"to ridicule,to tease,to banter with,to make fun of",N2
空っぽ,からっぽ,"empty,vacant,hollow",N2
,かるた,(n) playing cards (pt: carta),N2
枯れる,かれる,"to wither,to die (plant),to be blasted (plant)",N2
,カロリー,calorie,N2
,かわいがる,"to love,to be affectionate",N2
乾かす,かわかす,"to dry (clothes, etc.),to desiccate",N2
渇く,かわく,to be thirsty,N2
為替,かわせ,"money order,exchange",N2
瓦,かわら,roof tile,N2
代る,かわる,"(v5r,vi) to take the place of,to relieve,to be substituted for",N2
間隔,かんかく,"space,interval,SPC",N2
換気,かんき,ventilation,N2
感激,かんげき,"deep emotion,impression,inspiration",N2
関西,かんさい,,N2
鑑賞,かんしょう,appreciation,N2
感ずる,かんずる,"to feel,to sense",N2
間接,かんせつ,"indirection,indirectness",N2
乾燥,かんそう,"dry,arid,insipid,dehydrated",N2
感想,かんそう,"impressions,thoughts",N2
観測,かんそく,observation,N2
寒帯,かんたい,frigid zone,N2
官庁,かんちょう,"government office,authorities",N2
勘違い,かんちがい,"misunderstanding,wrong guess",N2
缶詰,かんづめ,"packing (in cans),canning,canned goods,tin can",N2
乾電池,かんでんち,"dry cell,battery",N2
関東,かんとう,"eastern half of Japan, including Tokyo",N2
観念,かんねん,"(1) idea,notion,conception,(2) sense (e.g. of duty)",N2
乾杯,かんぱい,toast (drink),N2
看板,かんばん,"sign,signboard,doorplate,poster",N2
看病,かんびょう,nursing (a patient),N2
冠,かんむり,"crown,diadem,first,best",N2
漢和,かんわ,Chinese Character-Japanese (e.g. dictionary),N2
気圧,きあつ,atmospheric pressure,N2
器械,きかい,instrument,N2
着替え,きがえ,"changing clothes,change of clothes",N2
機関車,きかんしゃ,"locomotive,engine",N2
飢饉,ききん,famine,N2
器具,きぐ,utensil,N2
期限,きげん,"term,period",N2
記号,きごう,"symbol,code",N2
刻む,きざむ,"to mince,to carve,to engrave",N2
儀式,ぎしき,"ceremony,rite,ritual,service",N2
基準,きじゅん,"standard,basis,criteria,norm",N2
規準,きじゅん,"standard,basis,criteria,norm",N2
起床,きしょう,"rising,getting out of bed",N2
着せる,きせる,to put on clothes,N2
基礎,きそ,"foundation,basis",N2
気体,きたい,"vapour,gas",N2
基地,きち,base,N2
,きっかけ,"chance,start,cue,excuse",N2
,ぎっしり,"tightly,fully",N2
基盤,きばん,"foundation,basis",N2
客席,きゃくせき,guest seating,N2
客間,きゃくま,"parlor,guest room",N2
,ギャング,gang,N2
,キャンパス,campus,N2
休業,きゅうぎょう,"closed (e.g. store),business suspended,shutdown,holiday",N2
休講,きゅうこう,lecture cancelled,N2
休息,きゅうそく,"rest,relief,relaxation",N2
給与,きゅうよ,"allowance,grant,supply",N2
休養,きゅうよう,"rest,break,recreation",N2
清い,きよい,"clear,pure,noble",N2
強化,きょうか,"strengthen,intensify,reinforce,solidify",N2
境界,きょうかい,boundary,N2
行事,ぎょうじ,"event,function",N2
恐縮,きょうしゅく,"shame,very kind of you,sorry to trouble",N2
教養,きょうよう,"culture,education,refinement,cultivation",N2
行列,ぎょうれつ,"(1) line,procession,(2) matrix (math)",N2
漁業,ぎょぎょう,fishing (industry),N2
曲線,きょくせん,curve,N2
規律,きりつ,"order,rules,law",N2
斬る,きる,"(v5r) to behead,to murder",N2
気を付ける,きをつける,"to be careful,to pay attention,to take care",N2
金魚,きんぎょ,goldfish,N2
区域,くいき,"limits,boundary,domain,zone,sphere,territory",N2
偶数,ぐうすう,even number,N2
空想,くうそう,"daydream,fantasy,fancy,vision",N2
空中,くうちゅう,"sky,air",N2
,クーラー,"cooler,air conditioner",N2
釘,くぎ,nail,N2
区切る,くぎる,"to punctuate,to cut off,to mark off,to stop,to put an end to",N2
櫛,くし,comb,N2
,くしゃみ,sneeze,N2
苦情,くじょう,"complaint,troubles,objection",N2
苦心,くしん,"pain,trouble",N2
屑,くず,"waste,scrap",N2
崩す,くずす,"to destroy,to pull down,to make change (money)",N2
薬指,くすりゆび,ring finger,N2
崩れる,くずれる,"to collapse,to crumble",N2
砕く,くだく,"to break,to smash",N2
砕ける,くだける,"to break,to be broken",N2
,くたびれる,"to get tired,to wear out",N2
,くだらない,"good-for-nothing,stupid,trivial,worthless",N2
下る,くだる,"to get down,to descend",N2
唇,くちびる,lips,N2
口紅,くちべに,lipstick,N2
,くっつく,"to adhere to,to keep close to",N2
,くっつける,to attach,N2
,くどい,"verbose,importunate,heavy (taste)",N2
句読点,くとうてん,punctuation marks,N2
配る,くばる,"to distribute,to deliver",N2
工夫,くふう,"labourer,worker",N2
区分,くぶん,"division,section,classification",N2
組合せ,くみあわせ,combination,N2
組み立てる,くみたてる,"to assemble,to set up,to construct",N2
汲む,くむ,"(1) to draw (water),to dip,to scoop,to pump",N2
酌む,くむ,to serve sake,N2
悔しい,くやしい,"regrettable,mortifying,vexing",N2
悔やむ,くやむ,to mourn,N2
,クリーニング,"cleaning,dry cleaning,laundry service",N2
,くるむ,"to be engulfed in,to be enveloped by,to wrap up",N2
,くれぐれも,"repeatedly,sincerely,earnestly",N2
咥える,くわえる,,N2
郡,ぐん,"country,district",N2
稽古,けいこ,"practice,training,study",N2
敬語,けいご,"honorific,term of respect",N2
蛍光灯,けいこうとう,"fluorescent lamp,person who is slow to react",N2
形式,けいしき,"form,formality,format,math expression",N2
継続,けいぞく,continuation,N2
毛糸,けいと,knitting wool,N2
経度,けいど,longitude,N2
系統,けいとう,"system,family line,geological formation",N2
芸能,げいのう,"public entertainment,accomplishments,attainments",N2
競馬,けいば,horse racing,N2
警備,けいび,"defense,guard,policing,security",N2
形容詞,けいようし,true adjective,N2
形容動詞,けいようどうし,"adjectival noun,quasi-adjective",N2
外科,げか,surgical department,N2
毛皮,けがわ,"fur,skin,pelt",N2
激増,げきぞう,sudden increase,N2
下車,げしゃ,"alighting,getting off",N2
下旬,げじゅん,month (last third of),N2
下水,げすい,"drainage,sewage,ditch,gutter,sewerage",N2
削る,けずる,"to cut down little by little,to take a percentage",N2
桁,けた,"column,beam,digit",N2
下駄,げた,"geta (Japanese footwear),wooden clogs",N2
血圧,けつあつ,blood pressure,N2
血液,けつえき,blood,N2
月給,げっきゅう,monthly salary,N2
傑作,けっさく,"masterpiece,best work,boner,blunder",N2
月末,げつまつ,end of the month,N2
気配,けはい,"indication,market trend,worry",N2
下品,げひん,"vulgarity,meanness,indecency,coarseness",N2
煙い,けむい,smoky,N2
蹴る,ける,to kick,N2
けれど/けれども,,"but,however",N2
